"","NAME","NAMEJOIN","NAMECOUNTY","COUNTYJOIN","DATE","DATA_SOURC","IMG_VERIFD","X","Y","INDEX","P_CODE","ALT_NAME1","ALT_NAME2","ALT_NAME3","ALT_NAME4","STATEJOIN","PAYAM","BOMA","FUNC_CLASS","CONF_SCORE","SRC_VERIFD","SRC_V_REM"
"9690","Nyandongcentre","Nyadong","NyadongPanyijiar","Panyijiar",NA,"VAS, WFP, OCHA COD, NBS Unity",0,30.20555,7.68897,15599,"BN-1634","Nyandong","Nyadong_","Nyadong","","Unity","Nyal","Nyingoang",6,60,1,"GPS"
"9691","Nyaraar","Nyaraar","NyaraarPanyijiar","Panyijiar",NA,"VAS, OCHA COD, NBS Unity",0,30.22012,7.68935,15600,"BN-1635","Nyarar","","","","Unity","Nyal","Nyingoang",6,50,1,"GPS"
"9692","Akiar","Akiar","AkiarTonjEast","TonjEast",NA,"WFP, OCHA COD, NBS Warrap, UNMISS",1,28.8979,7.68943,619,"BM-0081","Akier","","","","Warrap","Palal","",6,99,1,""
"9693","Kuok","Kuok","KuokLeer","Leer",NA,"VAS",1,30.2125,8.2238,15788,"BE-0623","","","","","Unity","Yang","Ribek",6,30,1,"GPS"
"9694","Avokoia","Avokoia","AvokoiaYei","Yei",NA,"WFP, UNMISS, NBS Central Equatoria",0,30.21667,4.28333,5098,"BV-0204","","","","","CentralEquatoria","Tore","",6,30,0,""
"9695","AbuyAbuy","Abuy_Abuy","Abuy_AbuyJurRiver","JurRiver",NA,"VAS",1,28.05993,7.68976,6179,"BL-0461","","","","","WesternBahrelGhazal","Rocrocdong","Kuanga",6,30,1,"GPS"
"9696","Obor","Obor","OborAkobo","Akobo",NA,"WFP, NBS Jonglei, UNMISS",0,33.06056,7.68993,902,"BP-0122","","","","","Jonglei","Nyandit","",6,40,1,""
"9697","RiverYei","River_Yei","River_YeiYirolWest","YirolWest",NA,"OCHA COD",0,30.21667,6.25,14349,"BN-1049","","","","","Lakes","Anuol","",6,10,0,"inside County"
"9698","Qarambi","Qarambi","QarambiYei","Yei",NA,"WFP, UNMISS, NBS Central Equatoria",0,30.22,4.59,5136,"BV-0320","","","","","CentralEquatoria","Tore","",6,30,0,""
"9699","Thonyor","Thonyor","ThonyorLeer","Leer",NA,"UNMISS, NBS Unity, OCHA COD, WFP",1,30.22,8.22,15783,"BE-0618","","","","","Unity","Yang","",5,60,1,"JLC/FAO,"
"9700","KulYang","Kul_Yang","Kul_YangLeer","Leer",NA,"VAS",1,30.22,8.25948,15830,"BE-0667","","","","","Unity","Adok","Wulu Four",6,30,1,"GPS"
"9701","MajakOne","Majak_One","Majak_OnePanyijiar","Panyijiar",NA,"VAS, OCHA COD, NBS Unity",0,30.2607,7.69017,15601,"BN-1636","Majak","","","","Unity","Nyal","Majak",6,50,1,"GPS"
"9702","Paljiem","Paljiem","PaljiemPanyijiar","Panyijiar",NA,"VAS",0,30.22082,7.69048,15602,"BN-1637","","","","","Unity","Nyal","Nyingoang",6,30,1,"GPS"
"9703","Wechyuek","Wechyuek","WechyuekAkobo","Akobo",NA,"AOK",0,33.05191,7.6907,18425,"","","","","","Jonglei","Nyandit","",6,30,0,""
"9704","Rumkueth","Rumkueth","RumkuethRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.63597,7.69078,13599,"BM-0913","","","","","Lakes","Malueeth","Acieek",6,20,0,"inside County"
"9705","HaiJezira1","HAI_JEZIRA_1","HAI_JEZIRA_1Wau","Wau",NA,"OCHA COD",1,27.98036,7.69084,5652,"BL-0874","","","","","WesternBahrelGhazal","Wau South","JEZIRA",6,10,0,""
"9706","AtidoNyinam","Atido_Nyinam","Atido_NyinamJurRiver","JurRiver",NA,"VAS",1,28.05315,7.69085,6178,"BL-0459","","","","","WesternBahrelGhazal","Rocrocdong","Wadh-alal",6,30,1,"GPS"
"9707","HaiSalaam","HAI_SALAAM","HAI_SALAAMWau","Wau",NA,"OCHA COD",1,27.98274,7.69118,5653,"BL-0875","","","","","WesternBahrelGhazal","Wau South","SALAAM",6,10,0,""
"9708","Mapernekyeth","Mapernekyeth","MapernekyethRumbekNorth","RumbekNorth",NA,"OCHA COD, NBS Lakes",1,29.71258,7.69148,13607,"BM-0921","","","","","Lakes","Maper","Maper Centre",8,20,0,"inside County"
"9709","Tau","Tau","TauTonjEast","TonjEast",NA,"WFP, OCHA COD, UNMISS, NBS Lakes",1,29.34102,7.69169,618,"BM-0080","","","","","Warrap","Mayen2","",6,60,1,"Check on attributes and location"
"9710","HaiKosti","HAI_KOSTI","HAI_KOSTIWau","Wau",NA,"OCHA COD",1,27.99416,7.692,5644,"BL-0866","","","","","WesternBahrelGhazal","Wau South","KOSTI",6,10,0,""
"9711","Thonggbek","Thonggbek","ThonggbekJurRiver","JurRiver",NA,"OCHA COD",1,28.12577,7.69213,6175,"BL-0456","","","","","WesternBahrelGhazal","Rocrocdong","Achot",6,10,0,""
"9712","HaiJezira2","HAI_JEZIRA_2","HAI_JEZIRA_2Wau","Wau",NA,"OCHA COD",1,27.98007,7.69231,5646,"BL-0868","","","","","WesternBahrelGhazal","Wau South","JEZIRA",6,10,0,""
"9713","HaiJezira5","HAI_JEZIRA_5","HAI_JEZIRA_5Wau","Wau",NA,"OCHA COD",1,27.98011,7.69241,5647,"BL-0869","","","","","WesternBahrelGhazal","Wau South","JEZIRA",6,10,0,""
"9714","Abunybuny","Abunybuny","AbunybunyJurRiver","JurRiver",NA,"OCHA COD",0,28.06388,7.69252,6180,"BL-0462","","","","","WesternBahrelGhazal","Rocrocdong","Achot",6,10,0,""
"9715","HaiFhal","HAI_FHAL","HAI_FHALWau","Wau",NA,"OCHA COD",1,27.98142,7.69269,5648,"BL-0870","","","","","WesternBahrelGhazal","Wau South","JEBEL A",6,10,0,""
"9716","Magur","Magur","MagurTonjEast","TonjEast",NA,"WFP",1,29.2591,7.69272,620,"BM-0083","","","","","Warrap","Wun-liit","",6,20,1,""
"9717","Palual","Palual","PalualPanyijiar","Panyijiar",NA,"VAS, OCHA COD, NBS Unity",1,30.25487,7.69282,15603,"BN-1638","","","","","Unity","Nyal","Palual",6,50,1,"GPS"
"9718","HaiMuwzifin","HAI_MUWZIFIN","HAI_MUWZIFINWau","Wau",NA,"OCHA COD",1,28.00009,7.6929,5645,"BL-0867","","","","","WesternBahrelGhazal","Wau South","MUWZIFIN",6,10,0,""
"9719","NgoriboB","Ngoribo_B","Ngoribo_BWau","Wau",NA,"WFP, UNMISS, NBS Western Bahr el Ghazal",1,27.9027,7.69304,5543,"BL-0190","Ngoribo_B","","","","WesternBahrelGhazal","Besselia","",6,40,1,"GPS - ACTED, GPS - ACTED"
"9720","Majok","Majok","MajokPanyijiar","Panyijiar",NA,"VAS",0,30.2206,7.69315,15604,"BN-1639","","","","","Unity","Nyal","Nyingoang",6,30,1,"GPS"
"9721","Asor","Asor","AsorTonjSouth","TonjSouth",NA,"WFP",0,28.62444,7.69379,506,"BM-0084","","","","","Warrap","Jak","",6,20,1,""
"9722","Gornyana","Gornyana","GornyanaPanyijiar","Panyijiar",NA,"VAS",0,30.22077,7.69392,15605,"BN-1640","","","","","Unity","Nyal","Nyingoang",6,30,1,"GPS"
"9723","NiangNier","Niang_Nier","Niang_NierTonjSouth","TonjSouth",NA,"WFP, OCHA COD, NBS Warrap, UNMISS",1,28.77368,7.69425,507,"BM-0085","","","","","Warrap","Thiet","",6,50,1,""
"9724","Kuanya","Kuanya","KuanyaJurRiver","JurRiver",NA,"VAS",1,28.10233,7.6948,6174,"BL-0455","","","","","WesternBahrelGhazal","Rocrocdong","Achot",6,30,1,"GPS"
"9725","LoklokoF","LOKLOKO_F","LOKLOKO_FWau","Wau",NA,"OCHA COD",1,27.97822,7.69502,5639,"BL-0861","","","","","WesternBahrelGhazal","Wau North","LOKLOKO",6,10,0,""
"9726","Werer","Werer","WererPanyijiar","Panyijiar",NA,"VAS",1,30.23744,7.69537,15606,"BN-1642","","","","","Unity","Nyal","Palual",6,10,0,"Calculated"
"9727","LoklokoD","LOKLOKO_D","LOKLOKO_DWau","Wau",NA,"OCHA COD",1,27.97518,7.69553,5640,"BL-0862","","","","","WesternBahrelGhazal","Wau North","LOKLOKO",6,10,0,""
"9728","Mankuo","Mankuo","MankuoPariang","Pariang",NA,"WFP, NBS Unity, UNMISS, OCHA COD",1,30.22,9.84,17520,"BE-1418","Mankuok","","","","Unity","Jamjang","",6,50,0,""
"9729","HaiJebelB","HAI_JEBEL_B","HAI_JEBEL_BWau","Wau",NA,"OCHA COD",1,27.99551,7.696,5642,"BL-0864","","","","","WesternBahrelGhazal","Wau South","JEBEL B",6,10,0,""
